ABR;(43.8490422, -91.2116234)
ABI;(32.8981257, -96.70791609999999)
ADK;(31.1972412, -85.4120249)
KKI;(36.7504657, -95.97155889999999)
AKI;(38.0279647, -97.3359236)
CAK;(40.9153709, -81.4416324)
KQA;(40.3237883, -104.8362503)
AUK;(39.3943278, -122.5972123)
ALM;(25.9380378, -80.31147419999999)
ALS;(43.0967827, -76.1779129)
ALB;(42.7487124, -73.8054981)
CVO;(35.373377, -119.045837)
QWY;(36.3021225, -106.0452736)
ABQ;(35.0843859, -106.650422)
WKK;(37.3503031, -122.0510603)
AEX;(31.3274112, -92.5451856)
AET;(43.4620884, -80.4797893)
ABE;(38.526693, -121.392194)
AIA;(36.1501442, -95.9877391)
APN;(46.79655, -71.3050887)
AOO;(40.2949704, -78.3238791)
AMA;(41.8886496, -87.62755829999999)
ABL;(43.512592, -79.88342999999999)
AKP;(33.3810575, -111.9430408)
ANC;(35.8986758, -89.91882799999999)
AGN;(39.6644503, -104.8611808)
ANI;(41.9252374, -71.3995693)
ANV;(37.7500137, -122.1846712)
ATW;(44.2596728, -88.5104956)
ACV;(41.5586004, -87.4284638)
ARC;(36.74915379999999, -95.98992659999999)
AVL;(29.179881, -82.21130099999999)
HTS;(38.8830499, -77.0191358)
ASE;(33.85943110000001, -117.9720848)
AHN;(40.4280003, -79.7477177)
AKB;(45.6539126, -73.031033)
ATL;(33.6407282, -84.4277001)
AIY;(41.395232, -81.655716)
ATK;(25.8308626, -80.3563535)
AGS;(28.5061181, -81.4379106)
AUG;(29.8597573, -81.3274021)
AUS;(30.19747109999999, -97.66635289999999)
BFL;(45.5036209, -73.5740154)
BWI;(39.1774042, -76.6683922)
BGR;(39.303141, -84.414469)
BHB;(39.7804666, -86.20746249999999)
BRW;(28.2188991, -82.45759380000001)
BTI;(32.832085, -116.989089)
BTR;(30.5323599, -91.15146100000001)
MBS;(35.211745, -106.6585361)
BPT;(32.7387281, -96.7979939)
ZBV;(41.2915813, -73.91687929999999)
WBQ;(28.544793, -81.37723690000001)
BKW;(36.16828820000001, -95.95512389999999)
BED;(37.09024, -95.712891)
BLV;(38.5476913, -89.81566610000002)
BLI;(38.406826, -96.181805)
BJI;(47.5065728, -94.93365349999999)
BEH;(41.583339, -93.65805329999999)
BET;(40.7586961, -73.9855563)
ABE;(38.526693, -121.392194)
BTT;(36.1469522, -97.04190469999999)
BIL;(37.8259042, -94.36991929999999)
GPT;(29.8619296, -95.55424049999999)
BGM;(48.3956787, -71.1071943)
KBC;(40.7572538, -73.98285820000001)
BHM;(33.5624269, -86.754126)
BIS;(38.8925015, -77.0331908)
BID;(36.102791, -95.889839)
BMI;(36.04596290000001, -95.8696581)
BLF;(45.6712043, -74.31975779999999)
BOI;(40.754991, -73.9743625)
BOS;(41.249298, -95.98677819999999)
XHH;(31.7454091, -106.4790782)
WHH;(34.1289582, -118.1201219)
WBU;(34.1871726, -101.7279654)
BYA;(40.7773194, -73.25511399999999)
BWG;(34.0466457, -118.2265989)
BZN;(45.7784043, -111.1612273)
BFD;(32.7520154, -117.1460693)
BRD;(39.3217417, -76.62233239999999)
BWD;(40.7456557, -73.9900706)
QKB;(43.6852415, -79.31611579999999)
TRI;(37.2477361, -95.7111092)
BKX;(36.3403598, -94.1162389)
RBH;(41.0660331, -111.9894461)
BRO;(36.9983823, -95.6209277)
BQK;(31.2548331, -81.46691109999999)
BKC;(43.03684, -87.977823)
BUF;(42.9397059, -78.7295067)
IFP;(44.3233988, -93.2977739)
BUR;(34.1983122, -118.3574036)
BRL;(45.8767836, -72.5381159)
BTV;(44.4706939, -73.1516037)
BTM;(49.280188, -122.828036)
CAK;(40.9153709, -81.4416324)
CGI;(39.2018451, -119.7297872)
LUR;(39.1587599, -84.5417192)
EHM;(42.1667528, -83.79093739999999)
MDH;(44.9540821, -93.0981221)
CLD;(46.5511001, -75.49914609999999)
CNM;(35.0713551, -106.6289378)
MRY;(36.5871457, -121.8462322)
CPR;(37.6785923, -97.2402516)
CDC;(42.1451956, -87.761611)
CID;(41.8863861, -91.70697539999999)
CEM;(35.0908504, -80.6827883)
CDR;(35.3897222, -97.5447222)
